"dis1","dis2","Count"
"肝继发恶性肿瘤","高钾血症",1
"肝继发恶性肿瘤","高血压Ⅱ期",5
"肝继发恶性肿瘤","高血压Ⅲ期",1
"肝继发恶性肿瘤","高血压I期",1
"肝继发恶性肿瘤","高血压病",9
"肝继发恶性肿瘤","睾丸切除术后状态",1
"肝继发恶性肿瘤","膈下积液",1
"肝继发恶性肿瘤","梗阻性黄疸",8
"肝继发恶性肿瘤","梗阻性黄疸(胆囊)",1
"肝继发恶性肿瘤","骨继发恶性肿瘤",44
"肝继发恶性肿瘤","骨髓继发恶性肿瘤",5
"肝继发恶性肿瘤","冠状动脉粥样硬化",1
"肝继发恶性肿瘤","冠状动脉粥样硬化性心脏病",2
"肝继发恶性肿瘤","呼吸衰竭",3
"肝继发恶性肿瘤","化脓性胆管炎",1
"肝继发恶性肿瘤","混合性贫血",8
"肝继发恶性肿瘤","基底节出血",1
"肝继发恶性肿瘤","急性肝功能衰竭",3
"肝继发恶性肿瘤","急性化脓性扁桃体炎",1
"肝继发恶性肿瘤","急性粒细胞缺乏症",2
"肝继发恶性肿瘤","急性上呼吸道感染",1
"肝继发恶性肿瘤","急性失血性贫血",5
"肝继发恶性肿瘤","继发性血小板减少",1
"肝继发恶性肿瘤","结肠恶性肿瘤",1
"肝继发恶性肿瘤","结肠恶性肿瘤个人史",2
"肝继发恶性肿瘤","结肠继发恶性肿瘤",1
"肝继发恶性肿瘤","结核性腹腔积液",5
"肝继发恶性肿瘤","截瘫",1
"肝继发恶性肿瘤","颈部淋巴结继发恶性肿瘤",7
"肝继发恶性肿瘤","颈动脉闭塞和狭窄",1
"肝继发恶性肿瘤","颈动脉硬化",4
"肝继发恶性肿瘤","类风湿性关节炎",1
"肝继发恶性肿瘤","粒细胞缺乏",2
"肝继发恶性肿瘤","淋巴管继发恶性肿瘤",1
"肝继发恶性肿瘤","淋巴结继发恶性肿瘤",2
"肝继发恶性肿瘤","慢性肝功能衰竭",1
"肝继发恶性肿瘤","慢性萎缩性胃炎",5
"肝继发恶性肿瘤","慢性乙型病毒性肝炎",7
"肝继发恶性肿瘤","慢性阻塞性肺病",1
"肝继发恶性肿瘤","泌尿道感染",4
"肝继发恶性肿瘤","脑梗死",1
"肝继发恶性肿瘤","脑梗死后遗症",7
"肝继发恶性肿瘤","脑继发恶性肿瘤",7
"肝继发恶性肿瘤","脑膜继发恶性肿瘤",1
"肝继发恶性肿瘤","脑疝",1
"肝继发恶性肿瘤","膀胱继发恶性肿瘤",3
"肝继发恶性肿瘤","膀胱造口状态",1
"肝继发恶性肿瘤","盆腔继发恶性肿瘤",5
"肝继发恶性肿瘤","皮肤继发恶性肿瘤",1
"肝继发恶性肿瘤","脾大",1
"肝继发恶性肿瘤","脾继发恶性肿瘤",5
"肝继发恶性肿瘤","贫血",5
"肝继发恶性肿瘤","前列腺切除术后状态",1
"肝继发恶性肿瘤","前列腺增生",2
"肝继发恶性肿瘤","腔隙性脑梗死",5
"肝继发恶性肿瘤","乳腺恶性肿瘤",1
"肝继发恶性肿瘤","三叉神经痛",1
"肝继发恶性肿瘤","上肢静脉血栓形成",1
"肝继发恶性肿瘤","肾继发恶性肿瘤",2
"肝继发恶性肿瘤","肾结石",1
"肝继发恶性肿瘤","肾上腺继发恶性肿瘤",2
"肝继发恶性肿瘤","肾损伤",1
"肝继发恶性肿瘤","肾占位性病变",1
"肝继发恶性肿瘤","食管白斑",2
"肝继发恶性肿瘤","食管恶性肿瘤",1
"肝继发恶性肿瘤","食管继发恶性肿瘤",1
"肝继发恶性肿瘤","食管胃吻合口狭窄",1
"肝继发恶性肿瘤","噬血细胞综合征",1
"肝继发恶性肿瘤","手术后恶性肿瘤化学治疗",1
"肝继发恶性肿瘤","输尿管继发恶性肿瘤",1
"肝继发恶性肿瘤","锁骨上淋巴结继发恶性肿瘤",7
"肝继发恶性肿瘤","特指肾盂积水",1
"肝继发恶性肿瘤","特指消化器官继发性恶性肿瘤",1
"肝继发恶性肿瘤","疼痛",1
"肝继发恶性肿瘤","胃恶性肿瘤",1
"肝继发恶性肿瘤","胃间质细胞瘤",1
"肝继发恶性肿瘤","胃息肉",1
"肝继发恶性肿瘤","细菌性肠道感染",1
"肝继发恶性肿瘤","先天性单发性肾囊肿",1
"肝继发恶性肿瘤","消化道出血",1
"肝继发恶性肿瘤","消化道恶性肿瘤",1
"肝继发恶性肿瘤","消化器官恶性肿瘤个人史",1
"肝继发恶性肿瘤","心包积液",4
"肝继发恶性肿瘤","心律失常",2
"肝继发恶性肿瘤","胸膜继发恶性肿瘤",8
"肝继发恶性肿瘤","胸膜继发性恶性肿瘤",1
"肝继发恶性肿瘤","胸腔积液",26
"肝继发恶性肿瘤","血小板减少症",1
"肝继发恶性肿瘤","药物性肝炎",3
"肝继发恶性肿瘤","腋下淋巴结继发恶性肿瘤",7
"肝继发恶性肿瘤","胰腺继发恶性肿瘤",3
"肝继发恶性肿瘤","银屑病",1
"肝继发恶性肿瘤","脂肪肝",3
"肝继发恶性肿瘤","直肠恶性肿瘤",2
"肝继发恶性肿瘤","直肠恶性肿瘤个人史",1
"肝继发恶性肿瘤","椎动脉型颈椎病",1
"肝继发恶性肿瘤","椎基底动脉综合征",1
"肝继发恶性肿瘤","纵隔继发恶性肿瘤",1
"肝继发恶性肿瘤","纵隔淋巴结继发恶性肿瘤",16
"肝继发恶性肿瘤","纵隔淋巴结肿大",1
"肝继发性恶性肿瘤","不完全性肠梗阻",2
"肝继发性恶性肿瘤","胆囊结石",1
"肝继发性恶性肿瘤","胆囊结石伴慢性胆囊炎",1
"肝继发性恶性肿瘤","低蛋白性营养不良",1
"肝继发性恶性肿瘤","电解质紊乱",1
"肝继发性恶性肿瘤","肺继发性恶性肿瘤",3
"肝继发性恶性肿瘤","肺结节病",1
"肝继发性恶性肿瘤","腹膜继发恶性肿瘤",1
"肝继发性恶性肿瘤","腹腔继发性恶性肿瘤",1
"肝继发性恶性肿瘤","腹腔淋巴结继发恶性肿瘤",3
"肝继发性恶性肿瘤","肝囊肿",1
"肝继发性恶性肿瘤","肝硬化",1
"肝继发性恶性肿瘤","高血压",1
"肝继发性恶性肿瘤","高血压Ⅱ",2
"肝继发性恶性肿瘤","高脂血症",1
"肝继发性恶性肿瘤","骨继发恶性肿瘤",1
"肝继发性恶性肿瘤","继发性血小板减少症",1
"肝继发性恶性肿瘤","淋巴结继发恶性肿瘤",4
"肝继发性恶性肿瘤","淋巴结结节病",1
"肝继发性恶性肿瘤","慢性乙型病毒性肝炎，不伴有δ因子",1
"肝继发性恶性肿瘤","脑出血后遗症",1
"肝继发性恶性肿瘤","脑继发恶性肿瘤",1
"肝继发性恶性肿瘤","内痔，不伴有并发症",1
"肝继发性恶性肿瘤","其他特指的贫血",1
"肝继发性恶性肿瘤","前列腺增生",2
"肝继发性恶性肿瘤","肾继发恶性肿瘤",1
"肝继发性恶性肿瘤","肾囊肿(后天性)",1
"肝继发性恶性肿瘤","失血性贫血",2
"肝继发性恶性肿瘤","锁骨上淋巴结继发恶性肿瘤",1
"肝继发性恶性肿瘤","头、面和颈淋巴结继发性和未特指恶性肿瘤",1
"肝继发性恶性肿瘤","胸腔积液",3
"肝继发性恶性肿瘤","胸腔继发性恶性肿瘤",1
"肝继发性恶性肿瘤","胰腺恶性肿瘤",1
"肝继发性恶性肿瘤","椎基底动脉供血不足",1
"肝继发性恶性肿瘤","纵隔淋巴结继发恶性肿瘤",2
"肝继发性恶性肿瘤","阻塞性肺炎",1
"肝淋巴结继发恶性肿瘤","低蛋白血症",1
"肝淋巴结继发恶性肿瘤","肺继发恶性肿瘤",1
"肝淋巴结继发恶性肿瘤","腹水",1
"肝淋巴结继发恶性肿瘤","肝继发恶性肿瘤",1
"肝淋巴结继发恶性肿瘤","肝硬化",1
"肝淋巴结继发恶性肿瘤","高血压病",2
"肝淋巴结继发恶性肿瘤","慢性乙型病毒性肝炎",2
"肝淋巴结继发恶性肿瘤","锁骨上淋巴结继发恶性肿瘤",1
"肝门淋巴结继发恶性肿瘤","低蛋白血症",1
"肝门淋巴结继发恶性肿瘤","梗阻性黄疸(胆囊)",1
"肝母细胞瘤","肝继发恶性肿瘤",1
"肝内胆管癌","2型糖尿病",1
"肝内胆管癌","骨继发恶性肿瘤",1
"肝内胆管癌","截瘫",1
"肝内胆管癌","慢性胆囊炎",1
"肝内胆管癌","营养不良",1
"肝细胞癌","2型糖尿病",1
"肝细胞癌","肠梗阻",1
"肝细胞癌","胆道感染",1
"肝细胞癌","胆囊结石",1
"肝细胞癌","胆囊切除术后综合征",1
"肝细胞癌","胆囊炎",1
"肝细胞癌","低蛋白血症",3
"肝细胞癌","低钾血症",1
"肝细胞癌","肺大泡",1
"肝细胞癌","肺气肿",1
"肝细胞癌","肺占位性病变",1
"肝细胞癌","肝动脉栓塞",1
"肝细胞癌","肝囊肿",1
"肝细胞癌","肝炎后肝硬化",1
"肝细胞癌","肝硬化",2
"肝细胞癌","肝硬化伴食管胃底静脉曲张破裂出血",1
"肝细胞癌","高血压",1
"肝细胞癌","高血压Ⅱ期",1
"肝细胞癌","高血压病",4
"肝细胞癌","黄疸",1
"肝细胞癌","混合性贫血",1
"肝细胞癌","急性失血性贫血",1
"肝细胞癌","继发性血小板减少",1
"肝细胞癌","甲状腺毒症",1
"肝细胞癌","慢性胃炎",1
"肝细胞癌","慢性乙型病毒性肝炎",3
"肝细胞癌","门静脉高压",1
"肝细胞癌","泌尿道感染",1
"肝细胞癌","脾大",2
"肝细胞癌","脾功能亢进",2
"肝细胞癌","腔隙性脑梗死",1
"肝细胞癌","肾占位性病变",1
"肝细胞癌","食管白斑",1
"肝细胞癌","输尿管结石",1
"肝细胞癌","亚临床甲状腺功能减退症",1
"肝细胞癌","腰椎间盘突出",1
"肝细胞癌","乙型肝炎后肝硬化失代偿期",3
"肝细胞癌","营养不良",1
"肝细胞癌","原发性胆汁性肝硬变",1
"肝细胞癌","支气管继发恶性肿瘤",1
"肝血管瘤","肠道菌群失调",1
"肝血管瘤","胆囊息肉",1
"肝血管瘤","肝囊肿",1
"肝血管瘤","高血压",2
"肝血管瘤","慢性胃炎",1
"肝血管瘤","脑梗塞",1
"肝血管瘤","腔隙性脑梗塞",1
"肝血管瘤","肾囊肿(后天性)",1
"肝血管瘤","食管疾病，未特指",1
"肝血管瘤","胃良性肿瘤",1
"肝血管瘤","胃息肉",1
"肝血管瘤","支气管炎",1
"肝原位癌","2型糖尿病",1
"肝原位癌","胆囊炎",1
"肝原位癌","低蛋白血症",2
"肝原位癌","低钠血症",1
"肝原位癌","电解质代谢紊乱",1
"肝原位癌","肺不张",1
"肝原位癌","腹水",1
"肝原位癌","肝硬化失代偿期",1
"肝原位癌","膈疝",1
"肝原位癌","慢性乙型病毒性肝炎",1
"肝原位癌","门静脉高压",1
"肝原位癌","胸腔积液",1
"肝原位癌","血小板减少症",1
"肝原位癌","乙型肝炎后肝硬化失代偿期",1
"肝肿瘤","腹腔积血",1
"肝肿瘤","肋骨肿瘤",1
"肝肿瘤","特指肾盂积水",1
"肝肿瘤","脂肪肝",1
"肛管恶性肿瘤","前列腺增生",1
"肱骨良性肿瘤","过敏性皮炎",1
"宫颈恶性肿瘤，未特指","病毒性肝炎带菌者",1
"宫颈恶性肿瘤，未特指","胆囊结石",1
"宫颈恶性肿瘤，未特指","低蛋白血症",1
"宫颈恶性肿瘤，未特指","非胰岛素依赖型糖尿病",1
"宫颈恶性肿瘤，未特指","肺继发性恶性肿瘤",1
"宫颈恶性肿瘤，未特指","肝硬化",2
"宫颈恶性肿瘤，未特指","骨髓抑制",1
"宫颈恶性肿瘤，未特指","淋巴结继发恶性肿瘤",1
"宫颈恶性肿瘤，未特指","脑梗死后遗症",1
"宫颈恶性肿瘤，未特指","子宫平滑肌瘤，未特指",1
"宫颈恶性肿瘤","2型糖尿病",7
"宫颈恶性肿瘤","病毒性肝炎病原携带者",8
"宫颈恶性肿瘤","不完全性肠梗阻",1
"宫颈恶性肿瘤","陈旧性肺结核",1
"宫颈恶性肿瘤","创伤后股骨头坏死",1
"宫颈恶性肿瘤","胆囊结石",1
"宫颈恶性肿瘤","低蛋白血症",1
"宫颈恶性肿瘤","低钾血症",1
"宫颈恶性肿瘤","恶性肿瘤术后放射治疗",2
"宫颈恶性肿瘤","放疗后恢复期",5
"宫颈恶性肿瘤","放射学操作和放射治疗作为病人异常反应或以",1
"宫颈恶性肿瘤","放射治疗疗程",3
"宫颈恶性肿瘤","肺继发恶性肿瘤",2
"宫颈恶性肿瘤","肺结核，痰培养（+）",1
"宫颈恶性肿瘤","腹腔淋巴结继发恶性肿瘤",1
"宫颈恶性肿瘤","肝继发恶性肿瘤",1
"宫颈恶性肿瘤","肝血管瘤病",2
"宫颈恶性肿瘤","高血压Ⅱ期",1
"宫颈恶性肿瘤","高血压I期",16
"宫颈恶性肿瘤","高血压病",25
"宫颈恶性肿瘤","高脂血症",1
"宫颈恶性肿瘤","骨继发恶性肿瘤",1
"宫颈恶性肿瘤","骨髓抑制性贫血",5
"宫颈恶性肿瘤","冠状动脉粥样硬化性心脏病",1
"宫颈恶性肿瘤","后天性肾囊肿",1
"宫颈恶性肿瘤","化疗后骨髓抑制",12
"宫颈恶性肿瘤","急性失血性贫血",1
"宫颈恶性肿瘤","急性阴道炎",1
"宫颈恶性肿瘤","脊柱特指先天性畸形",1
"宫颈恶性肿瘤","继发性血小板增多症",1
"宫颈恶性肿瘤","继发于(慢性)失血的缺铁性贫血",3
"宫颈恶性肿瘤","结核性腹腔积液",1
"宫颈恶性肿瘤","颈部淋巴结继发恶性肿瘤",1
"宫颈恶性肿瘤","口腔淋巴上皮囊肿",1
"宫颈恶性肿瘤","老年性阴道炎",1
"宫颈恶性肿瘤","类白血病反应",1
"宫颈恶性肿瘤","卵巢白体囊肿",1
"宫颈恶性肿瘤","卵巢黄体囊肿",1
"宫颈恶性肿瘤","卵巢浆液性囊肿",1
"宫颈恶性肿瘤","卵巢滤泡囊肿",2
"宫颈恶性肿瘤","卵巢囊肿",5
"宫颈恶性肿瘤","慢性失血性贫血",7
"宫颈恶性肿瘤","慢性输卵管炎",9
"宫颈恶性肿瘤","慢性胃窦炎",1
"宫颈恶性肿瘤","慢性阴道炎",2
"宫颈恶性肿瘤","慢性支气管炎",1
"宫颈恶性肿瘤","慢性子宫炎",1
"宫颈恶性肿瘤","梅毒",2
"宫颈恶性肿瘤","脑梗死",1
"宫颈恶性肿瘤","脑梗死后遗症",1
"宫颈恶性肿瘤","脑血栓形成",1
"宫颈恶性肿瘤","女性不孕症",1
"宫颈恶性肿瘤","女性盆腔炎性疾病",1
"宫颈恶性肿瘤","盆腔继发恶性肿瘤",2
"宫颈恶性肿瘤","盆腔淋巴结继发性恶性肿瘤",1
"宫颈恶性肿瘤","贫血",1
"宫颈恶性肿瘤","髂外静脉血栓形成",1
"宫颈恶性肿瘤","青年起病成年型糖尿病",1
"宫颈恶性肿瘤","食管白斑",1
"宫颈恶性肿瘤","食管炎",1
"宫颈恶性肿瘤","手术后恶性肿瘤化学治疗",1
"宫颈恶性肿瘤","输卵管炎",10
"宫颈恶性肿瘤","特指化学治疗",2
"宫颈恶性肿瘤","特指女性盆腔炎性疾病",1
"宫颈恶性肿瘤","外阴白斑",1
"宫颈恶性肿瘤","为肿瘤化学治疗疗程",2
"宫颈恶性肿瘤","胃息肉",1
"宫颈恶性肿瘤","胃炎",1
"宫颈恶性肿瘤","下肢静脉炎",1
"宫颈恶性肿瘤","下肢深静脉血栓性静脉炎",2
"宫颈恶性肿瘤","胸腔积液",1
"宫颈恶性肿瘤","药物性肝损害",1
"宫颈恶性肿瘤","药物性骨髓抑制",6
"宫颈恶性肿瘤","腋下淋巴结继发恶性肿瘤",1
"宫颈恶性肿瘤","衣原体性阴道炎",1
"宫颈恶性肿瘤","乙型肝炎病毒携带者急性δ因子重复感染",2
"宫颈恶性肿瘤","原发性甲状旁腺功能亢进症",1
"宫颈恶性肿瘤","脂肪肝",1
"宫颈恶性肿瘤","直肠原位癌",1
"宫颈恶性肿瘤","中度贫血",1
"宫颈恶性肿瘤","重度贫血",1
"宫颈恶性肿瘤","子宫良性肿瘤",1
"宫颈恶性肿瘤","子宫内膜恶性肿瘤",1
"宫颈恶性肿瘤","子宫内膜息肉",1
"宫颈恶性肿瘤","子宫平滑肌瘤",12
"宫颈恶性肿瘤","子宫切除术后状态",1
"宫颈恶性肿瘤","子宫腺肌症",5
"宫颈良性肿瘤","宫颈息肉",1
"宫颈良性肿瘤","宫颈炎性疾病",2
"宫颈良性肿瘤","过敏性鼻炎伴哮喘",1
"宫颈良性肿瘤","继发于(慢性)失血的缺铁性贫血",1
"宫颈内膜恶性肿瘤","脑梗死",1
"宫颈内膜原位癌","化疗后骨髓抑制",1
"宫颈内膜原位癌","盆腔淋巴管瘤",1
"宫颈内膜原位癌","重度贫血",1
"宫颈平滑肌瘤","2型糖尿病",1
"宫颈平滑肌瘤","病毒性肝炎病原携带者",1
"宫颈平滑肌瘤","高血压病",1
"宫颈平滑肌瘤","宫颈炎性疾病",1
"宫颈平滑肌瘤","老年性阴道炎",1
"宫颈平滑肌瘤","卵巢黄素化囊肿",1
"宫颈平滑肌瘤","慢性失血性贫血",1
"宫颈平滑肌瘤","慢性输卵管炎",1
"宫颈平滑肌瘤","慢性子宫炎",1
"宫颈平滑肌瘤","子宫瘢痕妊娠",1
"宫颈平滑肌瘤","子宫平滑肌瘤",2
"宫颈原位癌","出血性卵巢黄体囊肿",1
"宫颈原位癌","单纯性肾囊肿",1
"宫颈原位癌","胆囊切除术后状态",1
"宫颈原位癌","癫痫",1
"宫颈原位癌","高血压Ⅱ期",1
"宫颈原位癌","高血压I期",1
"宫颈原位癌","高血压病",3
"宫颈原位癌","宫颈外膜炎",1
"宫颈原位癌","化疗后骨髓抑制",1
"宫颈原位癌","慢性浅表性胃炎",1
"宫颈原位癌","慢性输卵管炎",2
"宫颈原位癌","脑梗死",2
"宫颈原位癌","输卵管炎",2
"宫颈原位癌","心律失常",1
"宫颈原位癌","乙型病毒性肝炎",1
"宫颈原位癌","子宫平滑肌瘤",3
"股骨恶性肿瘤","低蛋白血症",1
"股骨恶性肿瘤","肺继发恶性肿瘤",1
"股骨恶性肿瘤","混合性贫血",1
"股骨恶性肿瘤","胸腔积液",1
"骨恶性肿瘤","不完全性肠梗阻",1
"骨恶性肿瘤","肺继发恶性肿瘤",2
"骨恶性肿瘤","肺继发性恶性肿瘤",1
"骨恶性肿瘤","肝继发性恶性肿瘤",2
"骨恶性肿瘤","高血压病",1
"骨恶性肿瘤","慢性乙型病毒性肝炎，不伴有δ因子",1
"骨恶性肿瘤","慢性阻塞性肺病",1
"骨恶性肿瘤","脑恶性肿瘤",1
"骨恶性肿瘤","其他特指的风湿性心脏病",1
"骨和骨髓继发性恶性肿瘤","肝硬化",1
"骨和骨髓继发性恶性肿瘤","乙型病毒性肝炎",1
"骨和关节软骨交搭跨越恶性肿瘤","附件继发恶性肿瘤",1
"骨化性纤维瘤","后天性外耳道狭窄",1
"骨继发恶性肿瘤","2型糖尿病",2
"骨继发恶性肿瘤","病毒性肝炎后遗症",1
"骨继发恶性肿瘤","陈旧性肩胛骨骨折",1
"骨继发恶性肿瘤","代谢性酸中毒",2
"骨继发恶性肿瘤","胆道感染",1
"骨继发恶性肿瘤","胆囊结石",3
"骨继发恶性肿瘤","胆囊切除术后状态",3
"骨继发恶性肿瘤","胆总管结石伴急性胆管炎",1
"骨继发恶性肿瘤","低蛋白血症",6
"骨继发恶性肿瘤","低钙血症",2
"骨继发恶性肿瘤","低钾血症",5
"骨继发恶性肿瘤","低钠血症",3
"骨继发恶性肿瘤","电解质代谢紊乱",1
"骨继发恶性肿瘤","动脉硬化性脑病",1
"骨继发恶性肿瘤","额窦恶性肿瘤",1
"骨继发恶性肿瘤","恶性腹水",2
"骨继发恶性肿瘤","恶性贫血",1
"骨继发恶性肿瘤","恶性胸腔积液",1
"骨继发恶性肿瘤","恶性肿瘤术后放射治疗",2
"骨继发恶性肿瘤","放射性肺炎",1
"骨继发恶性肿瘤","非胰岛素依赖型糖尿病",1
"骨继发恶性肿瘤","肺部感染",11
"骨继发恶性肿瘤","肺动脉高压",1
"骨继发恶性肿瘤","肺恶性肿瘤",4
"骨继发恶性肿瘤","肺恶性肿瘤个人史",2
"骨继发恶性肿瘤","肺继发恶性肿瘤",26
"骨继发恶性肿瘤","肺继发性恶性肿瘤",1
"骨继发恶性肿瘤","肺结节病",1
"骨继发恶性肿瘤","肺气肿",1
"骨继发恶性肿瘤","腹股沟恶性肿瘤",1
"骨继发恶性肿瘤","腹股沟淋巴结继发恶性肿瘤",1
"骨继发恶性肿瘤","腹膜继发恶性肿瘤",1
"骨继发恶性肿瘤","腹腔淋巴结继发恶性肿瘤",1
"骨继发恶性肿瘤","肝继发恶性肿瘤",15
"骨继发恶性肿瘤","肝继发性恶性肿瘤",1
"骨继发恶性肿瘤","肝囊肿",2
"骨继发恶性肿瘤","肝硬化失代偿期",1
"骨继发恶性肿瘤","肝肿瘤",1
"骨继发恶性肿瘤","高血压Ⅱ期",5
"骨继发恶性肿瘤","高血压I期",5
"骨继发恶性肿瘤","高血压病",4
"骨继发恶性肿瘤","睾丸切除术后状态",1
"骨继发恶性肿瘤","骨继发恶性肿瘤",1
"骨继发恶性肿瘤","骨髓继发恶性肿瘤",2
"骨继发恶性肿瘤","冠状动脉粥样硬化性心脏病",9
"骨继发恶性肿瘤","颌下淋巴结继发恶性肿瘤",1
"骨继发恶性肿瘤","后天性生殖器官缺失",1
"骨继发恶性肿瘤","呼吸衰竭",3
"骨继发恶性肿瘤","混合性贫血",7
"骨继发恶性肿瘤","基底节出血",1
"骨继发恶性肿瘤","急性肠炎",1
"骨继发恶性肿瘤","急性粒细胞缺乏症",1
"骨继发恶性肿瘤","急性支气管炎",1
"骨继发恶性肿瘤","脊柱结核",1
"骨继发恶性肿瘤","继发性血小板减少",1
"骨继发恶性肿瘤","继发于(慢性)失血的缺铁性贫血",1
"骨继发恶性肿瘤","甲沟炎",1
"骨继发恶性肿瘤","甲状腺功能减退症，未特指",1
"骨继发恶性肿瘤","结核性腹腔积液",3
"骨继发恶性肿瘤","截瘫",1
"骨继发恶性肿瘤","颈部淋巴结继发恶性肿瘤",5
"骨继发恶性肿瘤","颈椎间盘变性",1
"骨继发恶性肿瘤","粒细胞缺乏",5
"骨继发恶性肿瘤","淋巴结继发恶性肿瘤",1
"骨继发恶性肿瘤","慢性失血性贫血",1
"骨继发恶性肿瘤","慢性萎缩性胃炎",2
"骨继发恶性肿瘤","慢性乙型病毒性肝炎",4
"骨继发恶性肿瘤","慢性阻塞性肺病",1
"骨继发恶性肿瘤","慢性阻塞性肺病伴急性加重",1
"骨继发恶性肿瘤","弥漫性肺间质纤维化",1
"骨继发恶性肿瘤","脑梗死后遗症",2
"骨继发恶性肿瘤","脑继发恶性肿瘤",11
"骨继发恶性肿瘤","脑疝",1
"骨继发恶性肿瘤","膀胱继发恶性肿瘤",2
"骨继发恶性肿瘤","膀胱造口状态",1
"骨继发恶性肿瘤","盆腔淋巴结继发性恶性肿瘤",1
"骨继发恶性肿瘤","皮肤继发恶性肿瘤",1
"骨继发恶性肿瘤","脾继发恶性肿瘤",3
"骨继发恶性肿瘤","贫血",1
"骨继发恶性肿瘤","其他特指的贫血",1
"骨继发恶性肿瘤","髂静脉血栓形成",1
"骨继发恶性肿瘤","髂外静脉血栓形成",1
"骨继发恶性肿瘤","前列腺增生",1
"骨继发恶性肿瘤","腔隙性脑梗死",3
"骨继发恶性肿瘤","躯干骨继发恶性肿瘤",1
"骨继发恶性肿瘤","缺铁性贫血",1
"骨继发恶性肿瘤","缺血性心肌病",1
"骨继发恶性肿瘤","乳房恶性肿瘤个人史",1
"骨继发恶性肿瘤","上肢血栓性静脉炎",1
"骨继发恶性肿瘤","肾囊肿(后天性)",1
"骨继发恶性肿瘤","肾损伤",1
"骨继发恶性肿瘤","食管白斑",1
"骨继发恶性肿瘤","食管恶性肿瘤",1
"骨继发恶性肿瘤","食管继发恶性肿瘤",1
"骨继发恶性肿瘤","食管良性肿瘤",1
"骨继发恶性肿瘤","室性早搏",1
"骨继发恶性肿瘤","手术后恶性肿瘤化学治疗",1
"骨继发恶性肿瘤","锁骨上淋巴结继发恶性肿瘤",3
"骨继发恶性肿瘤","特指慢性阻塞性肺病",1
"骨继发恶性肿瘤","特指肾盂积水",1
"骨继发恶性肿瘤","胃息肉",4
"骨继发恶性肿瘤","下腔静脉血栓形成",2
"骨继发恶性肿瘤","下肢动脉血栓形成",1
"骨继发恶性肿瘤","心包积液",2
"骨继发恶性肿瘤","胸壁肿物",1
"骨继发恶性肿瘤","胸膜继发恶性肿瘤",4
"骨继发恶性肿瘤","胸腔积液",15
"骨继发恶性肿瘤","胸椎骨折",1
"骨继发恶性肿瘤","胸椎继发性恶性肿瘤",1
"骨继发恶性肿瘤","血小板减少，未特指",1
"骨继发恶性肿瘤","腰椎恶性肿瘤",1
"骨继发恶性肿瘤","腰椎退行性病变",1
"骨继发恶性肿瘤","腰椎椎管狭窄",1
"骨继发恶性肿瘤","药物性肝炎伴肝功能衰竭",1
"骨继发恶性肿瘤","药物性粒细胞减少",1
"骨继发恶性肿瘤","腋下继发性恶性肿瘤",1
"骨继发恶性肿瘤","腋下淋巴结继发恶性肿瘤",3
"骨继发恶性肿瘤","腋下淋巴结肿大",1
"骨继发恶性肿瘤","营养不良",1
"骨继发恶性肿瘤","支气管炎",1
"骨继发恶性肿瘤","脂肪肝",5
"骨继发恶性肿瘤","直肠息肉",1
"骨继发恶性肿瘤","肿瘤性病理性骨折",1
"骨继发恶性肿瘤","子宫平滑肌瘤",1
"骨继发恶性肿瘤","纵隔继发恶性肿瘤",2
"骨继发恶性肿瘤","纵隔淋巴结继发恶性肿瘤",11
"骨髓继发恶性肿瘤","低蛋白血症",1
"骨髓继发恶性肿瘤","恶性胸腔积液",1
"骨髓继发恶性肿瘤","腹腔淋巴结继发恶性肿瘤",1
"骨髓继发恶性肿瘤","粒细胞缺乏",1
"骨髓继发恶性肿瘤","噬血细胞综合征",1
"骨髓继发恶性肿瘤","胸膜继发恶性肿瘤",1
"骨髓瘤病","胆囊周围脓肿",1
"骨髓瘤病","低蛋白血症",2
"骨髓瘤病","低钙血症",1
"骨髓瘤病","低钠血症",1
"骨髓瘤病","肝硬化",1
"骨髓瘤病","高尿酸血症",1
"骨髓瘤病","梗阻性休克",1
"骨髓瘤病","呼吸衰竭",1
"骨髓瘤病","急性咽炎",1
"骨髓瘤病","继发性贫血",1
"骨髓瘤病","慢性肾衰竭",1
"骨髓瘤病","慢性乙型病毒性肝炎",1
"骨髓瘤病","肾性高血压",1
"骨髓瘤病","心功能不全",1
"骨髓瘤肾病","电解质紊乱",1
"骨髓瘤肾病","肺部感染",1
"骨髓瘤肾病","高脂血症",1
"骨髓瘤肾病","肾性贫血",1
"骨髓瘤肾病","声带息肉",1
"骨髓增生异常综合征","2型糖尿病",1
"骨髓增生异常综合征","非胰岛素依赖型糖尿病",1
"骨髓增生异常综合征","肺炎",1
"骨髓增生异常综合征","高血压I期",1
"骨髓增生异常综合征","急性上呼吸道感染",1
"骨髓增生异常综合征","急性咽炎",1
"骨髓增生异常综合征","慢性支气管炎",1
"骨髓增生异常综合征","沙门菌胃肠炎",1
"骨髓增生异常综合征","消化道出血",1
"骨髓增生异常综合征","心功能不全",1
"骨髓增生异常综合征","脂肪肝",1
"骨髓增生异常综合症，未特指","低蛋白血症",1
"骨髓增生异常综合症，未特指","发热，未特指",1
"骨髓增生异常综合症，未特指","子宫良性肿瘤",1
"骨肿瘤","2型糖尿病性酮症酸中毒",1
"骨肿瘤","脑动脉狭窄",1
