ARCIMRowid,ARCIMCode,ARCIMDesc
14252||1,QX00000#619,活化部分凝血活酶1500
14253||1,QX00000#1094,氯化钙溶液
14254||1,QX00000#611,校准血清
14255||1,QX00000#658,腺病毒抗原检测试剂盒
14256||1,QX00000#657,A群轮状病毒诊断试剂盒
14257||1,QX00000#676,载脂蛋白A-1(735)
14258||1,QX00000#675,载脂蛋白B(986)
14259||1,QX00000#606,类风湿因子校准液
1425||1,XY00925,克林霉素粉针(莫欣)[0.25g]
14260||1,QX00000#593,梅毒螺旋体抗体270
14261||1,QX00000#583,尿有形成份检测鞘液
14262||1,QX00000#628,溶血剂
14263||1,QX00000#610,染色液A
14264||1,QX00000#476,缓冲液B
14265||1,QX00000#980,萘酚
14266||1,QX00000#981,对氨基苯磺酸165
14267||1,XY201402251,枸橼酸铋钾片/替硝唑片/克拉霉素片
14268||1,XY2014022521,阿昔洛韦粉针1[0.25g]11111
14269||1,XY201402253,丹参川芎嗪(恤彤)注射液[5ml]
1426||1,XY01858,银黄颗粒[4g]
14270||1,CY201402254,称
14271||1,SJNK0034,随时吸痰
14272||1,GK0002,局部理疗
14273||1,JYWS036,苯妥英钠(大仑丁)
14274||1,JYWS037,卡马西平
14275||1,JYWS038,氨茶碱
14276||1,JYWS039,环孢霉素
14277||1,JYSW040,普乐可复
14278||1,JYWS041,雷帕霉素
14279||1,JYWS042,万古霉素
1427||1,XY01170,奈达铂粉针(捷佰舒)[10mg]
14280||1,ZLF20140226,电脑血糖监测（麻醉）
14281||1,CZ01890,胎心监护
14282||1,ZL0200,留置胃管(神经内科)
14283||1,XY201402281,银杏二萜内酯葡胺注射液
14284||1,XY201402282,甲巯咪唑片[5mg*100片]
14285||1,XY201402283,叶酸片1[5mg*100片]11111
14286||1,ZLF2014022801,经内镜气管内肿瘤切除术
14287||1,XY201402284,卡左双多巴控释片(息宁)11111
14288||1,XY201402285,喹硫平片(思瑞康)[25mg*20片]
14289||1,XY201402286,(高危B)异丙嗪注射液[2ml*50mg*10支]
1428||1,XY00997,联苯双脂滴丸[1.5mg*250丸]
14290||1,XY201402287,奈普生片[0.1g*100片]
14291||1,XY201402288,(麻)可待因片1[30mg]
14292||1,XY201402289,(麻)阿桔片[30mg]
14293||1,XY2014022810,(麻)哌替啶注射液[1ml:50mg]
14294||1,XY2014022811,明胶海棉[6cm*2cm]
14295||1,XY2014022812,脾多肽注射液[2ml*6支]
14296||1,XY201403031,氨基酸注射液(洛安命)[12.5g:250ml]
14297||1,XY201403032,(高危A)氯化钾注射液
14298||1,XY201403033,(高危A)氯化钾注射液(10ml)1111111
14299||1,XY201403034,(高危A)(锐50笔芯)门冬胰岛素50[3ml:300IU]
1429||1,XY01519,替考拉宁粉针(加力信)[0.2g]
142||1,XY01892,云南白药气雾剂[50g*60g]
14300||1,32#220,泵(IN4130)962.5
14301||1,32#8,压力延长管(30cm)88
14302||1,32#213,PTCA球囊(3.5*08-3.5*20)4200
14303||1,CLJR0053#11,PTCA球囊(3.5*12)4200
14304||1,32#214,PTCA球囊(4.5*08-4.5*20)4200
14305||1,CLJR0310#2,支架(3.5*12)
14306||1,CLJR0310#3,支架(2.75*12)
14307||1,CLJR0312#2,支架(3.0*15)11300
14308||1,CLJR0312#3,支架(3.5*29)11300
14309||1,CLJR0312#4,支架(4.0*18)11300
1430||1,XY00167,氨肽素片[0.2g*100片]
14310||1,CLJR0312#5,支架(3.5*24)11300
14311||1,CLJR0312#8,支架(3.0*21)11300
14312||1,330100017#21,膜肺(儿童)
14313||1,330409007#1,羟基磷石眼台3780
14314||1,330409007#2,羟基磷石眼台（骨片）
14315||1,330409007#3,羟基磷石灰眼台（骨片）2940
14316||1,CY201403041,冬虫夏草(克)1
14317||1,XY201403041,叶酸片(5mg)111111
14318||1,3315#264,内固定材料(跟骨钛板)
14319||1,3315#265,内固定材料(重建弯钛板)
1431||1,XY01148,明胶海棉[6cm*2cm]
14320||1,3315#266,内固定材料(指骨钛板)
14321||1,XY201403042,胎盘多肽注射液1[4ml]
14322||1,XY201403043,甘油磷酸钠注射液(格列福斯)
14323||1,XY201403044,法莫替丁胶囊
14324||1,QX00000#891,针头2.5
14325||1,QX00000#892,麻醉针
14326||1,QX00000#941,一次性胸腔水封引流瓶70
14327||1,QX00000#944,研钵
14328||1,QX00000#945,针麻仪
14329||1,QX00000#889,酒精灯9
1432||1,XY00587,复方川芎胶囊[0.37g*36粒]
14330||1,QX00000#990,保健箱
14331||1,QX00000#744,延伸管(B1型)
14332||1,QX00000#791,灭菌包装袋10cm
14333||1,QX00000#904,输液架
14334||1,QX0000#907,海绵钳
14335||1,QX00000#812,美容线(HM601-(6-0))
14336||1,QX00000#590,一次性离心管96.25
14337||1,121600001#10,一次性引流袋（抗反流）
14338||1,QX00000#795,血液透析粉(AB1.5)
14339||1,QX00000#796,血液透析粉(A剂1.5)
1433||1,XY01290,羟苯磺酸钙胶囊(昊畅)[0.25g*36粒]
14340||1,311000006#20805171,透析器(FX60)165
14341||1,QX00000#1059,康本龙治疗仪
14342||1,XY201403051,格列吡嗪片[5mg*30片]
14343||1,XY201403052,普乐安片(前列康)
14344||1,PE008,营养科检查
14345||1,PE009,神经科检查
14346||1,QX00000#893,一次性开口袋
14347||1,120100012#2,一次性造瘘袋60.5
14348||1,XY201403053,米托蒽醌粉针[5mg]
14349||1,QX00000#940,透明底盘65
1434||1,XY01589,妥布霉素滴眼液[8ml:24mg]
14350||1,120400011#1080528,外周中心静脉导管(双腔紫管3275118)2467.5
14351||1,PE099,体检凑整费
14352||1,PE100,体检费
14353||1,XY201403056,他克莫司胶囊(福美欣)[0.5mg*50粒]
14354||1,T001,鳞状细胞癌相关抗原测定（SCC）2
14355||1,T002,抗核抗体2
14356||1,T003,类风湿系列2
14357||1,T004,抗中性粒细胞胞浆抗体2
14358||1,T006,抗双链DNA抗体2
14359||1,T007,抗核抗体滴度2
1435||1,XY01217,女珍颗粒[6g*12袋]
14360||1,T009,自免肝系列2
14361||1,T010,ENA多肽谱2
14362||1,T011,抗心磷脂抗体2
14363||1,T012,酒精浓度定量分析2
14364||1,SNK00010,TCD（神内）
14365||1,QX00000#903,水浴箱
14366||1,QX00000#906,复合酶1360
14367||1,XY201403061,碘普罗胺注射液[50ml:38.44g]
14368||1,120100014#12,一次性冲洗器（冲洗袋）
14369||1,331503012#3,异体骨(人工骨)(2g)2362.5
1436||1,XY01528,天丹通络胶囊[0.4g*60粒]
14370||1,CLJR0062#1,一次性使用穿刺器
14371||1,QX00000#1060,经阴道电子探头
14372||1,CK132,各类氨基酸脂肪酸分析(产科)
14373||1,2103#2080544,高压注射器套管264（CM-100/60）
14374||1,33#33,特殊缝线(可吸收线)(4/0角)30.8
14375||1,QX00000#964,酸度计
14376||1,QX00000#966,电导率测试笔
14377||1,T013,红斑狼疮筛查1
14378||1,T014,抗环瓜氨酸肽抗体2
14379||1,FK0100,感染性疾病科护理常规
1437||1,XY01031,龙鹿丸[0.2g*20丸]
14380||1,FK0101,肺结核护理常规
14381||1,FK0102,肝炎护理常规
14382||1,FK0103,猩红热护理常规
14383||1,FK0104,水痘护理常规
14384||1,FK0105,脂肪肝护理常规
14385||1,FK0106,手足口护理常规
14386||1,FK0107,肝性脑病护理常规
14387||1,FK0108,脑膜炎护理常规
14388||1,FK0109,麻疹护理常规
14389||1,FK0110,细菌性痢疾护理常规
1438||1,ZY00206,百草妇炎清栓[4g*3枚]
14390||1,FK0111,发热护理常规
14391||1,FK0112,肺外结核病护理常规
14392||1,FK0113,布氏杆菌病护理常规
14393||1,FK0114,艾滋病护理常规
14394||1,FK0115,梅毒护理常规
14395||1,FK0116,流感护理常规
14396||1,FK0117,肝病饮食
14397||1,FK0118,消化道隔离
14398||1,FK0119,呼吸道隔离
14399||1,FK0120,体液、分泌物隔离
1439||1,XY01082,洛美沙星滴耳液(乐芬)[5ml:15mg]
143||1,XY00705,宫炎康胶囊[0.4g*48粒]
14400||1,FK0121,床旁隔离
14401||1,FK0122,告重病
14402||1,QX00000#968,封口机
14403||1,QX00000#900,车针消毒合
14404||1,QX00000#902,车针消毒网
14405||1,QX00000#792,灭菌包装袋5.5cm
14406||1,QX00000#859,牙钳合
14407||1,QX00000#860,无菌车
14408||1,QX00000#861,DIO留置器
14409||1,QX00000#862,手动螺丝刀
1440||1,XY01679,消癌平注射液(大)[20ml]
14410||1,330609001#24,种植体(各规格型号)3003
14412||1,QX00000#928,网底直丝弓颊面关管
14413||1,JC00670,床旁B超检查(重症医学科)
14414||1,32#79,导管(0668945)
14415||1,120400011#5,中心静脉套件352
14416||1,331507#4,人工膝关节(2L-140MM-11-18)
14417||1,XY201403101,沙丁胺醇注射液[2ml:0.4mg]
14418||1,XY201403102,依托考昔片(安康信)
14419||1,XY201403103,复方甘露醇注射液[250ml]
1441||1,XY00763,槐耳颗粒[20g*6袋]
14420||1,XY201403104,果糖注射液[250ml:25g]
14421||1,33#21,闭合器(FH-Y45)
14422||1,XY201403106,那氟沙星软膏
14423||1,XY201403107,复方颠茄铋镁片
14424||1,310522003#5,方丝弓托槽60
14425||1,QX00000#814,钨钢车针11.6
14426||1,QX00000#815,拔髓针柄
14427||1,QX00000#817,红蜡板
14428||1,QX00000#818,琼脂复制膏
14429||1,QX00000#909,无砷失活抑菌剂
1442||1,XY00644,复方锌铁钙颗粒[5g*16袋]
14430||1,QX00000#910,氢氧化钙糊剂39
14431||1,310522003#2,自锁托槽
14432||1,310522003#3,正畸托槽
14433||1,QX00000#835,含碘消毒液
14434||1,QX00000#855,水门汀粉5
14435||1,QX00000#856,水门汀45
14436||1,QX00000#857,酸蚀剂
14437||1,QX00000#1038,美佳印印膜材B套
14438||1,QX00000#1040,牙科膜片
14439||1,QX00000#1042,树脂粘固剂
1443||1,XY01206,尼扎替丁胶囊[0.15g*10粒]
14440||1,QX00000#1043,光固化垫底材料80
14441||1,QX00000#1049,前方牵引器120
14443||1,QX00000#1053,一次性针头（口腔）
14444||1,QX00000#876,合成树脂牙
14445||1,ZL2014031001,癌性疼痛护理常规
14446||1,QX00000#875,网底直丝弓颊面管
14447||1,ZL2014031002,癌性疼痛滴定
14448||1,SXK00100,备洗涤红细胞[A型Rh阳性(+)]
14449||1,SXK00101,备洗涤红细胞[B型Rh阳性(+)]
1444||1,XY00503,(麻)芬太尼注射液[0.1mg]
14450||1,SXK00102,备洗涤红细胞[AB型Rh阳性(+)]
14451||1,SXK00103,备洗涤红细胞[O型Rh阳性(+)]
14452||1,SXK00104,备洗涤红细胞[A型Rh阴性(-)]
14453||1,SXK00105,备洗涤红细胞[B型Rh阴性(-)]
14454||1,SXK00106,备洗涤红细胞[AB型Rh阴性(-)]
14455||1,SXK00107,备洗涤红细胞[O型Rh阴性(-)]
14456||1,SXK00108,备新鲜冰冻血浆[A型Rh阳性(+)]
14457||1,SXK00109,备新鲜冰冻血浆[B型Rh阳性(+)]
14458||1,SXK00110,备新鲜冰冻血浆[AB型Rh阳性(+)]
14459||1,SXK00111,备新鲜冰冻血浆[O型Rh阳性(+)]
1445||1,XY01042,(精一)氯胺酮注射液[0.1g*10支]
14460||1,SXK00112,备新鲜冰冻血浆[A型Rh阴性(-)]
14461||1,SXK00113,备新鲜冰冻血浆[B型Rh阴性(-)]
14462||1,SXK00114,备新鲜冰冻血浆[AB型Rh阴性(-)]
14463||1,SXK00115,备新鲜冰冻血浆[O型Rh阴性(-)]
14464||1,SXK00116,备普通冰冻血浆[A型Rh阳性(+)]
14465||1,SXK00117,备普通冰冻血浆[B型Rh阳性(+)]
14466||1,SXK00118,备普通冰冻血浆[AB型Rh阳性(+)]
14467||1,SXK00119,备普通冰冻血浆[O型Rh阳性(+)]
14468||1,SXK00120,备普通冰冻血浆[A型Rh阴性(-)]
14469||1,SXK00121,备普通冰冻血浆[B型Rh阴性(-)]
1446||1,XY01003,磷酸肌酸钠粉针(莱博通)[0.5g]
14470||1,SXK00122,备普通冰冻血浆[AB型Rh阴性(-)]
14471||1,SXK00123,备普通冰冻血浆[O型Rh阴性(-)]
14472||1,XY20140311,谷维素片(10mg*100片)1
14473||1,SXK00124,备新鲜机采血小板[A型Rh阳性(+)]
14474||1,SXK00125,备新鲜机采血小板[B型Rh阳性(+)]
14475||1,SXK00126,备新鲜机采血小板[AB型Rh阳性(+)]
14476||1,SXK00127,备新鲜机采血小板[O型Rh阳性(+)]
14477||1,SXK00128,备新鲜机采血小板[A型Rh阴性(-)]
14478||1,SXK00129,备新鲜机采血小板[B型Rh阴性(-)]
14479||1,SXK00130,备新鲜机采血小板[AB型Rh阴性(-)]
1447||1,XY00704,宫血停颗粒(无糖)[10g*6袋]
14480||1,XY2014031101,谷维素片(10mg*100片)01
14481||1,SXK00131,备新鲜机采血小板[O型Rh阴性(-)]
14482||1,SXK00132,备冷沉淀[A型Rh阳性(+)]
14483||1,XY2014031102,(高危A)硫酸镁注射液[2.5g*5支]
14484||1,SXK00133,备冷沉淀[B型Rh阳性(+)]
14485||1,SXK00134,备冷沉淀[AB型Rh阳性(+)]
14486||1,SXK00135,备冷沉淀[O型Rh阳性(+)]
14487||1,SXK00136,备冷沉淀[A型Rh阴性(-)]
14488||1,SXK00137,备冷沉淀[B型Rh阴性(-)]
14489||1,XY2014031103,匹多莫德口服液[10ml:0.2g]
1448||1,XY00005,(呼特)头孢地嗪粉针(力勉)[1g]
14490||1,SXK00138,备冷沉淀[AB型Rh阴性(-)]
14491||1,SXK00139,备冷沉淀[O型Rh阴性(-)]
14492||1,SXK00140,备去白红细胞悬液[A型Rh阳性(+)]
14493||1,SXK00141,备去白红细胞悬液[B型Rh阳性(+)]
14494||1,SXK00142,备去白红细胞悬液[AB型Rh阳性(+)]
14495||1,SXK00143,备去白红细胞悬液[O型Rh阳性(+)]
14496||1,SXK00144,备去白红细胞悬液[A型Rh阴性(-)]
14497||1,SXK00145,备去白红细胞悬液[B型Rh阴性(-)]
14498||1,SXK00146,备去白红细胞悬液[AB型Rh阴性(-)]
14499||1,SXK00147,备去白红细胞悬液[O型Rh阴性(-)]
1449||1,XY01546,头孢地嗪粉针(力勉)[0.5g]
144||1,XY01077,裸花紫珠胶囊[0.4g*36粒]
14500||1,SXK00148,备去白红细胞全血[A型Rh阳性(+)]
14501||1,SXK00149,备去白红细胞全血[B型Rh阳性(+)]
14502||1,SXK00150,备去白红细胞全血[AB型Rh阳性(+)]
14503||1,SXK00151,备去白红细胞全血[O型Rh阳性(+)]
14504||1,SXK00152,备去白红细胞全血[A型Rh阴性(-)]
14505||1,SXK00153,备去白红细胞全血[B型Rh阴性(-)]
14506||1,SXK00154,备去白红细胞全血[AB型Rh阴性(-)]
14507||1,SXK00155,备去白红细胞全血[O型Rh阴性(-)]
14508||1,SXK00156,备冰冻红细胞[A型Rh阳性(+)]
14509||1,SXK00157,备冰冻红细胞[B型Rh阳性(+)]
1450||1,XY01417,肾康注射液[20ml]
14510||1,SXK00158,备冰冻红细胞[AB型Rh阳性(+)]
14511||1,SXK00159,备冰冻红细胞[O型Rh阳性(+)]
14512||1,SXK00160,备冰冻红细胞[A型Rh阴性(-)]
14513||1,SXK00161,备冰冻红细胞[B型Rh阴性(-)]
14514||1,SXK00162,备冰冻红细胞[AB型Rh阴性(-)]
14515||1,SXK00163,备冰冻红细胞[O型Rh阴性(-)]
14516||1,20140311,灌肠
14517||1,3315#267,内固定材料(手指钛板)(3孔)
14518||1,331501057#28,人工椎间盘(颈前路钛板)
14519||1,XY201403121,(高危B)缩宫素注射液[1ml*10IU*10支]11111
1451||1,XY01287,强肝片[0.5g*36片]
14520||1,XY201403122,(高危B)缩宫素注射液[1ml:10IU*10支]
14521||1,331501057#29,人工椎间盘25mm6300
14522||1,XY201403123,(高危B)紫杉醇注射液(泰素)[5ml:30mg]
14523||1,XY201403124,注射用水1[2ml*10支]1111111
14524||1,XY201403125,异烟肼片(雷米丰)[100mg*100片]1111
14525||1,331501004#23,人工椎体(脊柱内固定系统)(两钉一棒)
14526||1,331501004#24,人工椎体(脊柱内固定系统)(8钉两棒)
14527||1,XY201403126,静脉全营养液(3000ml)
14528||1,BL00105,常规活检检查与诊断
14529||1,BL00106,快速冰冻检查与诊断
1452||1,XY00354,丹栀逍遥胶囊[0.45g*24粒]
14530||1,BL00107,宫颈液薄层检查与诊断
14531||1,BL00108,细胞学检查与诊断
14532||1,BL00109,非妇科TCT检查与诊断
14533||1,NFM006,（下）上肢多普勒血流图（内分泌）
14534||1,XY201403131,小牛血清去蛋白(大奥德金)注射液[10ml:0.4g]
14535||1,XY201403141,0.9%氯化钠注射液[500ml:4.5g]
14536||1,HXK00006,经纤支镜特殊治疗
14537||1,XY201403142,(高危B)低分子肝素钠(小希弗全)注射液[0.4ml:4250IU]
14538||1,LNB001,TCD（老年病科）
14539||1,XY201403171,(高危A)多巴酚丁胺注射液1[2ml:20mg*10支]1111
1453||1,XY00418,定喘止咳胶囊[0.4g*36粒]
14540||1,JY000315,细菌快检项目
14541||1,JY000316,G试验（真菌D-葡聚糖检测）
14542||1,JY000317,内毒素定量测定
14543||1,XY201403172,静脉全营养液[1600ml]
14544||1,FK1000,体液、血液隔离
14545||1,SXK0164,备同型洗涤红细胞
14546||1,SXK00165,备同型去白红细胞悬液
14547||1,SXK00166,备同型去白红细胞全血
14548||1,SXK00167,备同型新鲜机采血小板
14549||1,SXK00168,备同型冷沉淀
1454||1,XY00581,复方斑蝥胶囊[0.25g*24粒]
14550||1,SXK00169,备同型普通冰冻血浆
14551||1,SXK00170,备同型新鲜冰冻血浆
14552||1,SXK00171,备同型冰冻红细胞
14553||1,JSK0007,宫颈液基细胞学检查（计生科）
14554||1,SJNK0035,经皮动脉支架置入术（神经内科）
14555||1,32#333,鞘管(9F)
14556||1,331003010#0805141,供体（肠道阻导管）
14557||1,32#334,球囊12*60
14558||1,32#335,导管（引流导管）
14559||1,32#9,压力延长管(136cm)88
1455||1,XY00178,奥布卡因凝胶[10ml:30mg]
14560||1,120100014#5080516,一次性口腔护理包6.6
14561||1,JY000264,抗碱血红蛋白试验
14562||1,QX00000#599,OKT3抗体1.6mg
14563||1,33#60,特殊缝线(薇乔）W9236T
14564||1,120300001#17,一次性面罩（成人）
14565||1,33#62,特殊缝线(可吸收外科线(Vcp784D)
14566||1,QX00000#951,三角形刀片
14567||1,210103#4,agfa胶片8*10
14568||1,210103#1,agfa胶片10*12
14569||1,210103#5,agfa胶片14*17
1456||1,XY01005,磷酸铝凝胶[20g:2.2g*6袋]
14570||1,QX00000#1092,眼镜片
14571||1,CL01944#1,手清洁液5L
14572||1,120100014#9080524,一次性口腔治疗盘(KQH-1)2.42
14573||1,QX00000#1102,3M指示胶带
14574||1,QX00000#754,一次性B-D试验包
14575||1,QX00000#1103,砂球
14576||1,QX00000#696,一次性包布(80*80)1.75
14577||1,QX00000#697,一次性包布(25*25)0.28
14578||1,QX00000#813,生物培养指示剂
14579||1,CLJR0312#7,支架(2.5*21)11300
1457||1,XY00212,斑蝥酸钠维生素B6注射液[10ml:0.1mg]
14580||1,32#351,栓塞材料(封堵器)(30mm)
14581||1,310905022#5,支架(胆道)(韩国进口)(24*100)
14582||1,310901006#2,支架(食道支架)(18*120)
14583||1,310901006#3,支架(食道支架)(18*140)5250
14584||1,32#153,鞘管2877
14585||1,32#156,鞘管(8F)
14586||1,32#51,导管(造影导管)(5FTIG)
14587||1,32#215,PTCA球囊(4.0*08-4.0*20)4200
14588||1,32#105,鞘管(Rs*A80n25aQ)297
14589||1,32#291,导管(造影导管)(5FJL3.5)
1458||1,XY00693,格列齐特片[80mg*60片]
14590||1,CLJR0312#9,支架(2.5*12-2.5*36)11300
14591||1,XY201403241,(高危A)间羟胺注射液1[1ml*10mg*2支]
14592||1,XY201403242,尼麦角林片(思尔明)
14593||1,331507#5,人工膝关节(3#2+23/10mm)
14594||1,331507#6,人工膝关节(2#2#2#/8mm)
14595||1,331507#7,人工膝关节(2#2#2#8mm)36500
14596||1,331507#8,人工膝关节(4#3+#3#/8mm)
14597||1,331507#9,人工膝关节(3#2+2#/10MM)
14598||1,331501016#1,骨水泥2100
14599||1,SXK00072,血型鉴定
1459||1,XY00786,黄杨宁片[0.5mg*100片]
145||1,XY00714,固本益肠片[0.6g*48片]
14600||1,XY201403251,静脉全营养液(3000ml)2
14601||1,SXK00073,洗涤红细胞1U(新)
14602||1,SXK00074,去白红细胞悬液1U
14603||1,SXK00075,去白红细胞全血200ml(阳性)
14604||1,SXK00076,新鲜机采血小板1个治疗量(新)
14605||1,SXK00077,冷沉淀1U(新)
14606||1,SXK00078,普通冰冻血浆50ml(新)
14607||1,SXK00079,新鲜冰冻血浆50ml(新)
14608||1,SXK00080,冰冻红细胞1U
14609||1,3315#268,内固定材料(钉)(90mm)1260
1460||1,XY00165,氨氯地平片(宁立平)[5mg*10片]
14610||1,3315#269,内固定材料(拉力钉))
14611||1,QX00000#460,血管缝合器系统(12673)
14612||1,331501057#30,人工椎间盘(椎间融合器)(10mm)8400
14613||1,331507#55,人工关节(半髋)(13#24/045#)
14614||1,331507#56,人工关节(半髋)(11#24/043#)
14615||1,331507#10,人工膝关节(2#/13MM)
14616||1,331507#11,人工膝关节(13#28/053#)
14617||1,33#38,特殊缝线(可吸收线)26.4
14618||1,XY201403261,雷珠单抗(诺适得)注射液
14619||1,XY201403262,伊达比星(艾诺宁)粉针[5mg]
1461||1,XY00643,复方锌布颗粒(再康)[0.1g:0.15g:2mg]
14620||1,XY201403263,伊达比星(艾诺宁)粉针[10mg]
14621||1,330802#7,钛夹（小号）
14622||1,ZLF2014032701,血液透析1
14623||1,QX00000#881,大便杯
14624||1,ZLF2014032702,腹膜透析
14625||1,CLQT0088#1,胸部护板1575
14626||1,XY201403281,人凝血因子VIII[300IU]
14627||1,XY201403282,门冬氨酸鸟氨酸(雅博司)注射液
14628||1,JY0059,血氨
14629||1,XY2014033101,(高危B)缩宫素注射液[1ml*10支]111111
1462||1,XY01178,萘哌地尔片(再畅)[25mg*10片]
14630||1,XY201403312,精氨酸注射液[20ml:5g*5支]111111111
14631||1,XY201403313,碳酸氢钠注射液[250ml:12.5g]
14632||1,XY201403314,苦参碱注射液(5ml*5支)
14633||1,XY201403316,苦参碱注射液[5ml:50mg]
14634||1,331507#12,人工膝关节(3#L3#L3-4#/9MM)
14635||1,331507#57,人工关节(全髋)(56#54-56#32/+412#)
14636||1,XY201403317,丹参粉针(400mg)
14637||1,XY2014110304,三臣散(1.5g*10袋)
14638||1,XY201403319,产复康颗粒[20g*12袋]11111
14639||1,XY2014033110,复方木尼孜其颗粒(6g*9袋)
1463||1,XY00923,咳喘宁口服液[10ml*6支]
14640||1,XY2014033111,金蝉止痒胶囊(0.5g*36s)
14641||1,XY2014033112,复方红豆杉胶囊1111
14642||1,XY2014033113,芪珍胶囊(0.3g*30s)
14643||1,XY20140401,瑞舒伐他汀钙片(可定)[10mg*7片]
14644||1,XY2014040201,西洛他唑片(50mg*12T)
14645||1,XY20140403,羟苯磺酸钙胶囊(可元)[0.5g*20粒]
14646||1,CZ05000,真菌取材检查(皮肤科)
14647||1,XY2014040204,炉甘石洗剂[100ml]
14648||1,XY2014040205,阿托品注射液[2ml*1mg*10支]1111111
14649||1,XY2014040206,维拉帕米(异搏定B)注射液[2ml:5mg*5支]
1464||1,XY01062,氯马斯汀胶囊(浪静)[1.34mg*12粒]
14650||1,XY2014040207,复合维生素B片[100片]
14651||1,XY2014040208,异烟肼片(雷米丰)[0.1g*100片]
14652||1,XY2014040209,谷维素片11111
14653||1,XY20140402101,地高辛片[0.25mg*100片]
14654||1,3315#270,内固定材料(小T型锁定钛钉)(3孔)6510
14655||1,3315#271,内固定材料(中空钛钉)(3.5)
14656||1,3315#272,内固定材料(可吸收螺钉)(3.5*28MM)
14657||1,3315#273,内固定材料(T型手指钛板)(6孔)
14658||1,331501004#25,人工椎体(脊柱内固定系统)(十钉两棒)
14659||1,310702004#11,电极(冠状窦电极)F6QRD010RT
1465||1,XY01639,五加生化胶囊[0.4g*24粒]
14660||1,310702004#12,电极(冠状窦电极)F5AD9282RT
14661||1,JY0240,抗环瓜氨酸肽抗体
14662||1,XY2014040212,替硝唑氯化钠注射液[100ml:0.4g]
14663||1,XY2014040213,氟米龙滴眼液[5ml:0.1g]
14664||1,310702004#18,导管（消融导管）D7TDL252RT
14665||1,310702004#6,导管（消融导管）NI75TCDH
14666||1,32#161,鞘管(穿刺鞘)8F
14667||1,XY2014040214,昂丹司琼注射液(欧贝)[4ml:8mg]
14668||1,310702004#3,电极XRP6H
14669||1,32#162,鞘管(穿刺鞘)8.5FJLI
1466||1,XY00308,蟾酥注射液[10ml]
14670||1,CL00016#40,一次性穿刺针71MM(4410)
14671||1,CL00016#010,泵CFT001(2100)
14672||1,CT0095,新生儿胸部螺旋CT扫描+三维重建
14673||1,330409007#4,羟基磷灰石眼台(500U进口材料)
14674||1,330409007#5,羟基磷石眼台(200U)
14675||1,33#77,吻合器(钉仓)(ECR60G)
14676||1,120400011#2080529,外周中心静脉导管(单腔紫管3175118)2415
14677||1,1206#18,一次性敷贴（永磁）22*10cm
14678||1,XY2014040401,注射用水[2ml*10支]
14679||1,XY2014040402,右丙亚胺粉针(奥诺先)[250mg]
1467||1,XY01277,蕲蛇酶注射液[1ml:0.75g]1
14680||1,331008004#11,补片FC012
14681||1,32#360,导管(5FJL)231
14682||1,32#361,导管(5FJR)231
14683||1,1204#37,一次性输液器（多头）
14684||1,CL01993#3,避关罩
14685||1,JYWS100,尿蛋白电泳
14686||1,JYWS101,血清促肾上腺皮质激素测定(ACTH)(化学发光法)
14687||1,JYWS102,皮质醇
14688||1,JYWS103,血免疫球蛋白κ轻链
14689||1,32#438,一次性穿刺针(4410)
1468||1,XY00680,高锰酸钾[20g]
14690||1,JYWS104,血免疫球蛋白λ轻链
14691||1,JYWS105,24小时尿免疫球蛋白λ轻链
14692||1,JYWS106,24小时尿免疫球蛋白κ轻链
14693||1,JYWS107,血清蛋白电泳(五项蛋白)
14694||1,XY2014040801,聚维酮碘溶液[10%100ml]
14695||1,32#225,一次性穿刺针(经颈脉肝内穿刺器械）
14696||1,32#362,导管(4F)231
14697||1,32#172,支架(外周血管支架)16000
14698||1,32#137,导管(球囊导管)(7*80)*6300
14699||1,CLJR0187#1,32#311
1469||1,XY00321,除湿止痒洗液[200ml]
146||1,XY00718,冠心丹参滴丸[0.04g*150丸]
14700||1,CLJR0073#2,一次性穿刺针(2520)
14701||1,32#283,导管(MC-PE27131)3108
14702||1,32#86,栓塞材料(血管用栓塞材料)(300)
14703||1,XY2014040802,静脉全营养液(3000ml)3
14704||1,XY2014040803,奥卡西平片(0.3g*30片)
14705||1,32#359,泵（CFT001）2100
14706||1,120100011#4,一次性痰液收集器(SNQ-28B)
14707||1,1206#27,一次性引流管（脑科）
14708||1,1206#28,一次性引流管（T型）
14709||1,32#216,PTCA球囊(2.75*08-2.75*20)4200
1470||1,XY01485,羧甲淀粉钠溶液[100ml:45g]
14710||1,310702004#7,导管（消融导管）D8BTL252RT
14711||1,XY2014040901,碘溶液[100ml]1
14712||1,32#227,支架（颅内）(4.0*13)
14713||1,XY2014041001,甲亢灵颗粒(9g*18袋)
14714||1,XY2014041002,灯盏生脉胶囊(0.18g*18粒)11111
14715||1,331507#58,人工关节(半髋)(11#24/+3.545#)
14716||1,331507#13,人工膝关节(5#3+#3#/10mm)
14717||1,QX00000#790,离心管(15*100)
14718||1,QX00000#711,简易呼吸器178
14719||1,TXBFZLF20140411,特需病房诊疗费
1471||1,XY01302,芩翘口服液[10ml*6支]
14720||1,HLF2014041102,特需病房护理费
14721||1,HLF2014041103,产褥期康复护理费
14722||1,XY2014041101,匹多莫德分散片(0.4g*8片)
14723||1,XY2014041102,高三尖杉酯碱注射液(1ml:1mg:10支)
